invoicedetailid,invoiceid,productid,productprice,itemcost,consignorid,productdescription,invoicedate
21381,7554,44421,10.00,8.50,65,#9 Heavy Metal Shabby Can,2019-11-22
21382,7555,50780,12.99,11.04,500,Spc Wall Art-plaque Horse,2019-11-22
21385,7556,52198,1.00,0.85,500,Dill Buttons 159,2019-11-22
21387,7556,85544,1.50,0.00,500,Buttons (6),2019-11-22
21390,7558,73680,68.00,57.80,25,Antique Trunk,2019-11-22
21391,7559,85545,7.96,0.00,500,Floral Foam (4),2019-11-22
21392,7560,82464,2.00,1.70,48,SALE Bib,2019-11-22
21393,7560,85546,5.00,4.25,37,SALE Bandana Bib (2),2019-11-22
21396,7562,46539,1.99,1.69,500,Pompom-2in-5-08cm Red,2019-11-22
21397,7562,85548,3.98,0.00,500,Floral Foam,2019-11-22
21402,7562,85549,3.00,0.00,500,Gold Rings (3),2019-11-22
21408,7565,83882,8.50,7.22,17,Gnome,2019-11-22
21409,7565,85485,4.99,4.24,17,Small Handmade Gnome,2019-11-22
21412,7565,85202,2.50,2.12,502,Gnome,2019-11-22
21413,7565,83518,6.00,5.10,51,8 Ft Bead Chain,2019-11-22
21414,7566,58810,29.99,0.00,500,Melissa&Doug Stainless St,2019-11-22
21415,7567,81749,2.00,1.70,27,Christmas Deco 200,2019-11-22
21416,7568,50318,2.49,2.11,500,Wire Green,2019-11-22
21417,7568,85551,2.69,0.00,500,Snow,2019-11-22
21421,7570,75111,3.50,2.97,42,White Snowflake,2019-11-22
21426,7572,85319,4.75,4.03,31,Nutcracker,2019-11-22
21429,7573,53365,5.97,5.07,500,1 Misc Velcro,2019-11-22
21431,7574,82520,12.00,10.20,42,Girls Merrell Boots,2019-11-22
21432,7574,85628,1.00,0.00,500,Food,2019-11-22
21433,7575,84227,10.99,9.34,80,Snowman Salt/pepper,2019-11-22
21434,7575,84227,10.99,9.34,80,Snowman Salt/pepper,2019-11-22
21436,7575,10291,14.00,11.90,63,25 White Bead Tree,2019-11-22
21438,7575,75545,3.50,2.97,42,Hedgehog,2019-11-22
21440,7577,83595,14.99,0.00,500,Santa With Scooter,2019-11-22
21441,7578,77209680,45.00,0.00,500,White Washed Side Table,2019-11-22
21446,7578,14275,12.00,10.20,51,Gold Bells Wreath,2019-11-22
21450,7580,57394,7.99,6.79,40,Birch Branch,2019-11-22
21452,7580,57394,7.99,6.79,40,Birch Branch,2019-11-22
21453,7580,48443,4.99,4.24,500,Darice-hemp Cord-gray,2019-11-22
21455,7580,50317,2.49,2.11,500,Wire Green-20 Gauge,2019-11-22
21457,7581,75082,6.50,5.52,42,Yoki Girls Coat,2019-11-22
21461,7581,73347,3.00,2.55,49,Earrings Jen,2019-11-22
21463,7581,73347,3.00,2.55,49,Earrings Jen,2019-11-22
21465,7582,82715,3.75,3.18,1,Ag Interactive Book,2019-11-22
21467,7582,68055,5.50,4.67,15,Small Toy,2019-11-22
21471,7583,84538,6.99,0.00,500,Woodland Christmas Ribbon,2019-11-22
21476,7585,85629,7.99,0.00,500,Scissors,2019-11-22
21480,7588,82464,2.00,1.70,48,SALE Bib,2019-11-22
21481,7588,82464,2.00,1.70,48,SALE Bib,2019-11-22
21482,7588,82464,2.00,1.70,48,SALE Bib,2019-11-22
21486,7591,7582,6.50,5.52,15,18 Hanging Scarecrow,2019-11-22
21487,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21488,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21489,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21490,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21491,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21492,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21493,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21494,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21495,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21496,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21497,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21498,7592,57960,0.75,0.63,500,Mini Animal,2019-11-22
21500,7593,80645,6.00,5.10,63,Church Birdhouse Mini,2019-11-22
21503,7595,78975,8.95,7.60,56,Ginger Wafers Tin,2019-11-22
21504,7596,609,12.00,10.20,53,11c Filthy Animal Onesie,2019-11-22
21505,7596,80305,12.00,10.20,1,Football Jerseys,2019-11-22
21510,7598,68240,24.95,21.20,36,Lrg Hanging Candleholder,2019-11-22
21513,7599,56443,6.99,0.00,500,Mess-free-glitter Foam Ti,2019-11-22
21514,7599,56443,6.99,0.00,500,Mess-free-glitter Foam Ti,2019-11-22
21516,7601,50370,4.99,4.24,500,Floracraft-styrofoam-cone,2019-11-22
21517,7601,47278,1.49,1.26,500,Durafoam Cone 5.9 1pc,2019-11-22
21518,7601,50319,4.99,4.24,500,Dorafoam Cone 15in,2019-11-22
21519,7601,85631,1.00,0.00,500,Glue Sticks,2019-11-22
21521,7604,45670,5.99,0.00,500,Plaid-folk Art-stencils-g,2019-11-22
21522,7604,72516,6.99,0.00,500,Martha Stewart Aplha Sten,2019-11-22
21524,7606,85658,25.00,0.00,500,Wool Rug,2019-11-22
21526,7607,85660,1.59,0.00,500,Food,2019-11-22
21527,7608,72839,7.00,5.95,518,Garden Angel,2019-11-22
21529,7610,72025,4.00,3.40,12,12th Man Seattle,2019-11-22
21531,7611,85663,2.00,0.00,500,Clearance Tool,2019-11-22
21535,7614,85168,3.99,0.00,500,Small Burlap Santa Sack,2019-11-22
21536,7614,85168,3.99,0.00,500,Small Burlap Santa Sack,2019-11-22
21537,7614,85669,8.97,0.00,500,Winter Seasonal (3),2019-11-22
21538,7614,82874,2.00,1.70,510,Deer,2019-11-22
21539,7614,81461,3.95,3.35,25,Yum Soap,2019-11-22
21546,7617,85744,15.92,0.00,500,Fat Quarters (8),2019-11-23
21551,7619,85745,5.49,0.00,500,Stuffing,2019-11-23
21553,7620,52986,2.50,2.12,500,Dill Buttons 279,2019-11-23
21555,7621,56812,5.99,5.09,500,Sinfonia-kaqui,2019-11-23
21556,7622,80873,12.50,10.62,65,Firestarter,2019-11-23
21559,7623,46231,1.99,1.69,500,Handmade Card Wedding,2019-11-23
21560,7624,46937,6.59,5.60,500,Copper Wire-gold-28gauge-,2019-11-23
21562,7624,46818,2.19,1.86,500,Toho-seed Beads-gold-11/0,2019-11-23
21563,7625,75068,12.50,0.00,500,Art Alt. Marker Set 100pc,2019-11-23
21566,7625,77609,6.49,0.00,500,Erasers,2019-11-23
21567,7626,81594,4.99,0.00,500,Iwako Colors Eraser Puzzl,2019-11-23
21575,7628,85778,8.00,0.00,500,Fabric W Buttons,2019-11-23
21584,7631,67669,8.00,6.80,24,Baby Sleeping Sack,2019-11-23
21592,7631,67572,4.00,3.40,24,Hair Bow,2019-11-23
21594,7631,79195,2.00,1.70,24,Book,2019-11-23
21595,7631,79189,2.00,1.70,24,Book,2019-11-23
21599,7632,84979,15.00,12.75,51,Garden Stake Snowflake,2019-11-23
21601,7632,76131,3.00,2.55,76,Cookie Cutter,2019-11-23
21603,7633,77184,1.00,0.85,76,Cookie Cutter,2019-11-23
21605,7634,31265,2.50,2.12,8,#56 (bc) Small Votive Bee,2019-11-23
21606,7634,31265,2.50,2.12,8,#56 (bc) Small Votive Bee,2019-11-23
21607,7634,31265,2.50,2.12,8,#56 (bc) Small Votive Bee,2019-11-23
21608,7634,31265,2.50,2.12,8,#56 (bc) Small Votive Bee,2019-11-23
21609,7634,82705,8.95,7.60,56,Sword Letter Opener,2019-11-23
21610,7635,67575,4.00,3.40,24,Hair Bow,2019-11-23
21611,7635,79833,6.00,5.10,42,Playmobil,2019-11-23
21615,7638,85398,4.00,3.40,31,Angelinas Christmas Book,2019-11-23
21616,7638,56281,7.49,6.36,500,Melissa-doug-crayons Take,2019-11-23
21618,7640,72436,5.00,4.25,49,Bracelet,2019-11-23
21619,7640,18121,3.95,3.35,84,Braclet,2019-11-23
21620,7640,18121,3.95,3.35,84,Braclet,2019-11-23
21621,7641,73629,14.00,11.90,15,Miss Me,2019-11-23
21624,7643,80651,5.00,4.25,510,Baby Mocassins,2019-11-23
21625,7643,82464,2.00,1.70,48,SALE Bib,2019-11-23
21630,7643,84640,5.99,5.09,63,Church Wood,2019-11-23
21631,7643,84642,3.99,3.39,63,Church Wood,2019-11-23
21632,7643,58051,1.50,1.27,48,SALE Paci Clip,2019-11-23
21634,7643,85442,3.00,2.55,69,Blue Metal Display,2019-11-23
21639,7645,53863,1.79,1.52,500,Dritz Metal 1 D Rings 4 P,2019-11-23
21641,7647,83472,12.00,10.20,519,Fly Box,2019-11-23
21643,7646,56276,9.99,8.49,500,Melissa-doug-fresh-start-,2019-11-23
21644,7646,56245,9.99,8.49,500,Melissa-doug-4in1-jigsaw-,2019-11-23
21646,7648,75139,10.00,8.50,42,Wood Reindeer,2019-11-23
21647,7648,75138,10.00,8.50,42,Wood Reindeer,2019-11-23
21649,7648,85792,15.00,0.00,500,Fabric (3),2019-11-23
21650,7649,11871,29.00,24.65,41,# 15 A Cream French Style,2019-11-23
21652,7651,46822,2.29,1.94,500,Toho Silver Lined E Bead,2019-11-23
21653,7651,46822,2.29,1.94,500,Toho Silver Lined E Bead,2019-11-23
21654,7651,46822,2.29,1.94,500,Toho Silver Lined E Bead,2019-11-23
21655,7651,85805,3.98,0.00,500,Beading (2),2019-11-23
21656,7651,85806,3.99,0.00,500,Wire,2019-11-23
21659,7651,85807,2.00,0.00,500,Paper (2),2019-11-23
21660,7652,57515,4.99,4.24,70,Goat Milk Soap #22,2019-11-23
21663,7653,79255,10.00,8.50,36,Vanilla Bean,2019-11-23
21664,7653,58490,3.00,2.55,76,Drawer Pull,2019-11-23
21665,7653,58490,3.00,2.55,76,Drawer Pull,2019-11-23
21666,7653,58490,3.00,2.55,76,Drawer Pull,2019-11-23
21667,7653,58490,3.00,2.55,76,Drawer Pull,2019-11-23
21668,7653,21640,6.99,5.94,17,#32 Record-loretta Lynn W,2019-11-23
21670,7655,81653,10.00,8.50,30,Christmas Tree - Large,2019-11-23
21673,7655,171021,5.00,4.25,34,Dried Lavender Buds,2019-11-23
21676,7656,59003,8.00,6.80,51,Brown/black Sweater Dress,2019-11-23
21678,7657,48985,8.99,0.00,500,Americana-decor-satin-ena,2019-11-23
21679,7658,85814,1.99,0.00,500,Crafts,2019-11-23
21684,7659,81124,7.99,6.79,17,Bicentennial Stamp,2019-11-23
21685,7660,85817,2.09,0.00,500,Hardware,2019-11-23
21686,7660,85818,3.50,0.00,500,Leather,2019-11-23
21691,7662,85820,6.99,0.00,500,Greens,2019-11-23
21692,7663,58145,4.00,3.40,502,Dotted Candy Dish,2019-11-23
21694,7663,177690,5.00,4.25,502,Glass Jam Jar/lid,2019-11-23
21698,7663,78941,5.50,4.67,1,Glass Pumpkin,2019-11-23
21699,7663,72962,3.95,3.35,27,Humming Bird Lite,2019-11-23
21701,7663,85826,11.97,0.00,500,Batting (3),2019-11-23
21711,7664,49055,5.99,5.09,500,Rubn-buff-1 Ebony,2019-11-23
21714,7666,84174,10.00,8.50,8,Whale Tale Rack,2019-11-23
21715,7667,73430,14.95,12.70,74,Wool Sleeveless Dress,2019-11-23
21718,7668,76131,3.00,2.55,76,Cookie Cutter,2019-11-23
21719,7668,59831,5.00,4.25,48,Bow Headband,2019-11-23
21721,7669,85463,12.00,10.20,76,Check Knome,2019-11-23
21725,7670,113348,3.50,2.97,37,UnderAmour Sweatshirt,2019-11-23
21726,7670,72016,9.00,7.65,48,Button Down Shirt.,2019-11-23
21727,7670,74002,6.00,5.10,42,Shawn White Boys Shirt,2019-11-23
21728,7670,74316,3.00,2.55,24,Hair Clip,2019-11-23
21730,7670,78742,1.50,1.27,24,Hair Clip,2019-11-23
21737,7670,36359,9.00,7.65,48,Crochet Hexagon Paci Clip,2019-11-23
21738,7670,85847,1.00,0.00,500,Notions (2),2019-11-23
21739,7670,83821,6.50,5.52,1,Bow Boots,2019-11-23
21741,7671,48616,4.99,4.99,500,3ply-28lb-nat-jute-1-2-lb,2019-11-23
21743,7672,66164,6.00,5.10,73,Old Book,2019-11-23
21744,7672,17086,18.00,8.28,46,1935 Vintage Cook Book,2019-11-23
21745,7672,16109,1.00,0.00,500,1 Misc Craft,2019-11-23
21747,7672,68346,5.00,4.25,15,Snowman,2019-11-23
21748,7673,71007,2.00,1.70,49,Bracelet,2019-11-23
21749,7673,73356,1.00,0.85,49,Necklace Jen,2019-11-23
21753,7675,57032,8.99,7.64,500,Knitters Pride Circular,2019-11-23
21755,7676,48985,8.99,0.00,500,Americana-decor-satin-ena,2019-11-23
21757,7678,57960,0.75,0.63,500,Mini Animal,2019-11-23
21759,7680,76200,10.00,8.50,40,Log Bundle,2019-11-23
21761,7680,76765,12.95,11.00,56,Vintage Tinker Zoo,2019-11-23
21762,7680,3758,12.00,10.20,76,Vintage Bottle,2019-11-23
21764,7680,85854,9.99,0.00,500,Home Decor,2019-11-23
21765,7680,81904,39.50,33.57,31,Vintage Ski Poles,2019-11-23
21767,7682,82898,12.00,10.20,52,New Dog Stocking,2019-11-23
21768,7682,82240,4.00,3.40,42,Book,2019-11-23
21769,7682,82967,5.00,4.25,519,Slinky,2019-11-23
21773,7683,45388,5.00,4.25,500,Colored-pencils-art-alter,2019-11-23
21774,7683,75156,4.89,0.00,500,Darice Journal Llama,2019-11-23
21776,7683,78590,1.39,0.00,500,Chalkboad Gift Bags,2019-11-23
21777,7683,46247,0.69,0.58,500,Royal-blue-tissue-paper R,2019-11-23
21778,7683,56425,3.49,2.96,500,Melissa-doug-on-the-go-ma,2019-11-23
21779,7683,74579,3.49,0.00,500,Paint With Water Princess,2019-11-23
21780,7684,66539,3.00,2.55,24,Animal,2019-11-23
21781,7684,67533,2.00,1.70,24,Baby Toy,2019-11-23
21782,7684,67647,1.00,0.85,24,Toy,2019-11-23
21783,7684,76255,1.50,1.27,24,Toy,2019-11-23
21784,7685,78685,1.50,1.27,24,Hair Scrunchie,2019-11-23
21785,7685,78698,1.50,1.27,24,Hair Scrunchie,2019-11-23
21786,7685,85855,1.00,0.00,500,Crafts,2019-11-23
21790,7687,24796,1.50,0.00,500,DecoArt Acrylic Paint,2019-11-23
21793,7688,29366,3.50,2.97,42,Toy Packets #50,2019-11-23
21796,7689,85271,4.95,4.20,509,Christmas Sweater,2019-11-23
21797,7689,83694,6.00,5.10,63,RV W Tree Lighted,2019-11-23
21800,7690,84328,12.00,10.20,29,Suede Pixie Hat,2019-11-23
21802,7690,84330,12.00,10.20,29,Fall Pixie Hat,2019-11-23
21810,7693,16176,6.50,5.52,43,Leather Paci Clip,2019-11-23
21812,7694,79630,2.00,1.70,27,Christmas Deco,2019-11-23
21813,7695,24793,1.50,0.00,500,DecoArt Acrylic Paint,2019-11-23
21816,7697,85874,1.25,0.00,500,Wool,2019-11-23
21817,7696,75247,4.00,3.40,24,Toy,2019-11-23
21820,7700,81987,4.00,3.40,31,9ft Bead Strand,2019-11-23
21822,7701,32309,2.59,2.20,22,57- Blue Case Cf,2019-11-23
21823,7701,50530,1.39,0.00,500,Sourpatch Kids,2019-11-23
21826,7703,82290,8.00,6.80,74,Baby Shoes,2019-11-23
21829,7704,81424,7.95,6.75,36,Sm Green Glitter Gnome,2019-11-23
21830,7705,75428,85.00,72.25,80,French Market Desk,2019-11-23
21831,7706,85555,9.99,8.49,73,Vintage Ornament Box,2019-11-23
21833,7707,72310,9.50,8.07,31,Bless Kitchen Hanging,2019-11-23
21836,7708,85877,0.25,0.00,500,Foam,2019-11-23
21837,7708,67823,0.55,0.00,500,Embroidery Floss,2019-11-23
21840,7710,53497,7.99,0.00,500,Collins Super Strong Quil,2019-11-23
21842,7711,85880,5.00,0.00,500,Book,2019-11-23
21844,7712,85881,13.47,0.00,500,Wire (3),2019-11-23
21848,7715,85883,1.00,0.00,500,Food,2019-11-23
21850,7715,13857,4.00,3.40,51,Large Red Water Bottle,2019-11-23
21851,7715,13857,4.00,3.40,51,Large Red Water Bottle,2019-11-23
21855,7717,74074,8.99,7.64,40,Porcelain Measuring Cups,2019-11-23
21857,7717,81323,8.99,7.64,82,Vintage Wash Purple Top,2019-11-23
21858,7718,79825,6.50,5.52,42,Dress,2019-11-23
21859,7718,66571,5.00,4.25,24,Toy,2019-11-23
21861,7719,82340,10.00,8.50,40,Toy Bench,2019-11-23
21862,7720,82675,5.95,5.05,25,Yum Soap,2019-11-23
21863,7721,25684,22.95,19.50,77,40 Vintage Crock Bottle,2019-11-23
21864,7721,84589,18.00,15.30,12,Poop Co. Sign,2019-11-23
21866,7721,27723,36.50,31.02,91,Cast Iron Kettle # 47,2019-11-23
21869,7722,65995,3.00,2.55,76,Door Pull,2019-11-23
21871,7722,45427,2.99,2.54,500,Pentel Arts Hybird Techni,2019-11-23
21873,7725,83151,5.50,4.67,52,Home Sweet Home Decor,2019-11-23
21877,7724,81255,9.99,8.49,2,Collector Snowman,2019-11-23
21890,7729,55629,2.99,2.54,500,Small Stocking 8 X 10.5,2019-11-23
21896,7729,85890,1.00,0.00,500,Food,2019-11-23
21897,7730,72439,12.00,10.20,49,Jar Of Broken Jewelry,2019-11-23
21898,7730,73353,3.00,2.55,49,Bracelet Jen,2019-11-23
21901,7730,78684,1.50,1.27,24,Hair Scrunchie,2019-11-23
21902,7730,78689,1.50,1.27,24,Hair Scrunchie,2019-11-23
21904,7731,85891,1.50,1.27,69,Christmas Card,2019-11-23
21905,7732,85279,18.00,15.30,73,Christmas Poster,2019-11-23
21906,7732,82123,4.50,3.82,17,Track,2019-11-23
21908,7732,129800,85.00,72.25,74,Table,2019-11-23
21909,7733,85273,6.00,5.10,502,Tree Topper,2019-11-23
21911,7735,23557,28.00,23.80,87,Booth 10a Alpaca Scarf,2019-11-23
21752,7674,53460,1.49,0.00,500,Darice Wood-embroidery-ho,2019-11-23
21754,7675,57700,6.00,5.10,37,Scarf,2019-11-23
21756,7677,83429,24.00,20.40,519,Elk Horn,2019-11-23
21758,7679,44514,1.99,0.00,500,Art Alternatives 10 Well,2019-11-23
21760,7680,76766,9.95,8.45,56,Vintage Tinker Toy Set,2019-11-23
21763,7680,66530,12.00,10.20,76,Vintage Bottle,2019-11-23
21766,7681,16106,7.99,0.00,500,1 Misc Fabric,2019-11-23
21770,7682,82823,7.99,6.79,17,Black And White Jacket,2019-11-23
21771,7683,72267,4.54,0.00,500,Jolly Booster XL 6pc,2019-11-23
21772,7683,45836,3.49,3.49,500,Semi Moist Watercolors,2019-11-23
21775,7683,44934,4.50,0.00,500,Ken Oliver-coloring Journ,2019-11-23
21787,7686,48869,9.99,8.49,500,Rust-oleum-chalked Aged G,2019-11-23
21788,7687,48754,4.99,4.24,500,Wood Letters Casual Day 1,2019-11-23
21789,7687,48754,4.99,4.24,500,Wood Letters Casual Day 1,2019-11-23
21791,7688,85520,42.00,35.70,82,Wood Sign,2019-11-23
21792,7688,71648,1.95,1.65,27,Scissors,2019-11-23
21794,7689,68332,3.50,2.97,15,Ornaments,2019-11-23
21795,7689,791,6.00,5.10,23,#11d Distressed Wooden Bo,2019-11-23
21798,7689,79302,7.50,6.37,87,XMAS Home,2019-11-23
21799,7689,68332,3.50,2.97,15,Ornaments,2019-11-23
21801,7690,79867,8.00,6.80,42,Baby Hat,2019-11-23
21803,7691,16106,25.45,0.00,500,1 Misc Fabric,2019-11-23
21804,7691,16106,2.00,0.00,500,1 Misc Fabric,2019-11-23
21805,7692,16106,33.40,0.00,500,1 Misc Fabric,2019-11-23
21806,7692,53698,4.48,3.80,500,1 Misc. Ribbon,2019-11-23
21807,7692,53369,4.00,3.40,500,1 Misc Elastic,2019-11-23
21808,7693,85857,8.00,6.80,24,Outfit,2019-11-23
21809,7693,85858,4.95,4.20,74,White Cotton Drool Bib,2019-11-23
21811,7693,15708,7.00,5.95,74,BIBS Pacifier,2019-11-23
21814,7695,72997,2.49,0.00,500,Loew Cornell Hobby Brushe,2019-11-23
21815,7697,16106,6.99,0.00,500,1 Misc Fabric,2019-11-23
21818,7698,81750,2.00,1.70,27,Christmas Deco 200,2019-11-23
21819,7699,16106,20.00,0.00,500,1 Misc Fabric,2019-11-23
21821,7700,72327,34.50,29.32,31,Lincoln Breadbox,2019-11-23
21824,7702,81962,5.00,4.25,36,Lrg Blue Snowflake,2019-11-23
21825,7702,81963,5.00,4.25,36,Lrg Blue Snowflake,2019-11-23
21827,7703,60341,8.50,7.22,74,Baby Shoes,2019-11-23
21828,7703,36276,5.00,4.25,48,Baby Burp Cloth,2019-11-23
21832,7707,78878,12.00,10.20,7,Stamped Books,2019-11-23
21834,7707,42619,18.00,15.30,61,Large Framed Print #75,2019-11-23
21835,7707,84290,12.99,0.00,500,Season Greeting Apron,2019-11-23
21838,7709,85878,14.99,12.74,2,Log Cabin,2019-11-23
21839,7709,85879,15.96,0.00,500,Draw Pull (4),2019-11-23
21841,7711,151869,5.00,0.00,500,Bowl,2019-11-23
21843,7711,85661,0.75,0.00,500,Food,2019-11-23
21845,7713,85882,1.00,0.00,500,Make Up (2),2019-11-23
21846,7714,71748,10.49,0.00,500,Realeather Mini Punch Set,2019-11-23
21847,7715,85661,1.00,0.00,500,Food,2019-11-23
21849,7715,79292,8.00,6.80,502,Vintage Lantern,2019-11-23
21852,7716,53698,1.77,1.50,500,1 Misc. Ribbon,2019-11-23
21853,7716,85885,1.98,0.00,500,TAGS (2),2019-11-23
21854,7716,21793,3.49,2.96,17,#32 Christomas Tin,2019-11-23
21856,7717,84480,14.00,11.90,74,Long Sweater W Tassles,2019-11-23
21860,7719,85886,1.00,0.85,76,Cookie Cutter,2019-11-23
21865,7721,12281,10.95,9.30,36,27b Vinaigre Pot,2019-11-23
21867,7721,26071,24.95,21.20,77,40 National Washboard Co.,2019-11-23
21868,7721,85887,38.00,32.30,76,Mccoy Crock,2019-11-23
21870,7722,54748,12.99,0.00,500,Cork-notebook 8.5x10.5,2019-11-23
21872,7723,76149,1.99,0.00,500,Max Force Cable Ties,2019-11-23
21874,7725,59791,5.50,4.67,52,Family Wall Sign,2019-11-23
21875,7724,83944,3.50,2.97,1,Die Cast Horse,2019-11-23
21876,7724,77499,4.95,4.20,56,Blue And White Orn,2019-11-23
21878,7726,83944,3.50,2.97,1,Die Cast Horse,2019-11-23
21879,7726,24114,2.00,1.70,20,Needlepoint Angel Stockin,2019-11-23
21880,7726,16420,18.95,16.10,36,PR Sugar And Creamer,2019-11-23
21881,7726,16419,19.95,16.95,36,Lrg Coffee Pot,2019-11-23
21882,7726,77209621,21.95,18.65,36,Lrg Silver Teapot,2019-11-23
21883,7726,133802,12.95,11.00,56,PINK DEPRESSION GLASS JAR,2019-11-23
21884,7727,51065,3.99,3.39,500,Hampton Art- Bark Coaster,2019-11-23
21885,7727,51065,3.99,3.39,500,Hampton Art- Bark Coaster,2019-11-23
21886,7727,51065,3.99,3.39,500,Hampton Art- Bark Coaster,2019-11-23
21887,7728,44174,8.00,6.80,65,Black Wood Sign Holder,2019-11-23
21888,7729,55684,2.49,2.11,500,Xmas Pick Cedar Pine Corn,2019-11-23
21889,7729,50481,3.49,0.00,500,Seattle-chocolates Salted,2019-11-23
21891,7729,72448,0.45,0.00,500,Kelly Felt,2019-11-23
21892,7729,72448,0.45,0.00,500,Kelly Felt,2019-11-23
21893,7729,72448,0.45,0.00,500,Kelly Felt,2019-11-23
21894,7729,85889,1.49,0.00,500,Bell,2019-11-23
21895,7729,46562,2.19,1.86,500,Pipe-cleaners 25pc  Tinse,2019-11-23
21899,7730,85236,1.99,1.69,17,Christmas Kid Book,2019-11-23
21900,7730,78797,4.50,3.82,7,Vintage Music Sheets,2019-11-23
21903,7730,78690,1.50,1.27,24,Hair Scrunchie,2019-11-23
21907,7732,78784,3.99,3.39,17,The Spirit Of Christmas,2019-11-23
21912,7736,66079,4.19,0.00,500,Plant,2019-11-23
21910,7734,16106,14.99,0.00,500,1 Misc Fabric,2019-11-23
21547,7617,48519,4.49,3.81,500,Brown Paper Crafting Bags,2019-11-23
21548,7618,76279,46.00,39.10,42,Antique Sewing Table,2019-11-23
21549,7619,55040,3.99,3.39,500,Aleene's Fabric Stiffener,2019-11-23
21550,7619,47529,7.99,0.00,500,Aleenes Tacky Spray 11oz,2019-11-23
21552,7619,16106,2.98,0.00,500,1 Misc Fabric,2019-11-23
21554,7620,52784,2.25,1.91,500,Dill-buttons-3 746,2019-11-23
21557,7623,84477,6.99,0.00,500,Fall Ribbon,2019-11-23
21558,7623,48543,8.99,0.00,500,Americana-decor-satin-ena,2019-11-23
21561,7624,46975,1.99,1.69,500,Darice Beading Wire-silve,2019-11-23
21564,7625,45363,3.19,2.71,500,Pentel Slicci-black 0.25m,2019-11-23
21565,7625,85775,0.99,0.00,500,Sarasa Pen,2019-11-23
21568,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21569,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21570,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21571,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21572,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21573,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21574,7627,55685,1.99,1.69,500,9in Seed Berry Spray,2019-11-23
21576,7629,84158,15.00,12.75,8,Forest Quilt,2019-11-23
21577,7629,67652,1.00,0.85,24,Toy,2019-11-23
21578,7630,83232,8.00,6.80,502,Raggedy Ann/book,2019-11-23
21579,7630,81506,7.99,6.79,17,Christmas Apron,2019-11-23
21580,7631,75254,4.00,3.40,24,Toy,2019-11-23
21581,7631,76250,1.50,1.27,24,Toy,2019-11-23
21582,7631,85361,1.50,1.27,48,SALE Knot Clip,2019-11-23
21583,7631,85361,1.50,1.27,48,SALE Knot Clip,2019-11-23
21585,7631,84329,12.00,10.20,29,Cream Knit Pixie Hat,2019-11-23
21586,7631,85361,1.50,1.27,48,SALE Knot Clip,2019-11-23
21587,7631,74317,3.00,2.55,24,Hair Clip,2019-11-23
21588,7631,66664,5.00,4.25,24,Hat,2019-11-23
21589,7631,79414,2.00,1.70,48,SALE Headband,2019-11-23
21590,7631,82467,2.00,1.70,48,SALE Headband,2019-11-23
21591,7631,85360,2.00,1.70,48,SALE Bow Clip,2019-11-23
21593,7631,67603,1.50,1.27,24,Book,2019-11-23
21596,7631,74435,2.50,2.12,24,Book,2019-11-23
21597,7631,72849,5.00,4.25,24,Clothing,2019-11-23
21598,7631,75272,8.00,6.80,24,Outfit,2019-11-23
21600,7632,76838,6.50,5.52,62,White And Gold Sleigh,2019-11-23
21602,7633,111715,4.99,4.24,56,Set Of Cookie Cutters,2019-11-23
21604,7633,81811,5.99,5.09,518,Rae Dunn Pinch,2019-11-23
21612,7636,85787,8.49,0.00,500,Knitting Needsles,2019-11-23
21613,7637,53567,5.49,4.66,500,Hbf Simply Stuffing 100%,2019-11-23
21614,7637,53567,5.49,4.66,500,Hbf Simply Stuffing 100%,2019-11-23
21617,7639,73346,1.00,0.85,49,Earrings Jen,2019-11-23
21622,7642,27090,6.00,5.10,30,Small Cedar Box #43,2019-11-23
21623,7643,77841,4.00,3.40,24,Blanket,2019-11-23
21626,7643,78811,1.99,0.00,500,Tin Conisters 2pc,2019-11-23
21627,7643,78811,1.99,0.00,500,Tin Conisters 2pc,2019-11-23
21628,7643,78811,1.99,0.00,500,Tin Conisters 2pc,2019-11-23
21629,7643,78811,1.99,0.00,500,Tin Conisters 2pc,2019-11-23
21633,7643,79414,2.00,1.70,48,SALE Headband,2019-11-23
21635,7643,85788,0.99,0.00,500,Tags,2019-11-23
21636,7644,85789,14.85,0.00,500,Velcro,2019-11-23
